央视卫视,#genre#
芒果娱乐http://39.135.55.105:6610/PLTV/88888888/224/3221226887/index.m3u8?servicetype=1
纯享4K,http://39.135.55.105:6610/PLTV/88888888/224/3221226825/index.m3u8?servicetype=1
江西卫视,http://111.59.189.40:8445/tsfile/live/0010_1.m3u8
江苏卫视,http://111.59.189.40:8445/tsfile/live/0127_1.m3u8
东方卫视,http://111.59.189.40:8445/tsfile/live/0107_1.m3u8
浙江卫视,http://111.59.189.40:8445/tsfile/live/0124_1.m3u8
广东卫视,http://111.59.189.40:8445/tsfile/live/0125_1.m3u8
深圳卫视,http://111.59.189.40:8445/tsfile/live/0126_1.m3u8
湖南卫视,http://111.59.189.40:8445/tsfile/live/0128_1.m3u8
湖北卫视,http://111.59.189.40:8445/tsfile/live/0132_1.m3u8
兵团卫视,http://111.59.189.40:8445/tsfile/live/0115_1.m3u8
山西卫视,http://111.59.189.40:8445/tsfile/live/0118_1.m3u8
河北卫视,http://111.59.189.40:8445/tsfile/live/0117_1.m3u8
贵州卫视,http://111.59.189.40:8445/tsfile/live/0120_1.m3u8
辽宁卫视,http://111.59.189.40:8445/tsfile/live/0121_1.m3u8
四川卫视,http://111.59.189.40:8445/tsfile/live/0123_1.m3u8
安徽卫视,http://111.59.189.40:8445/tsfile/live/0130_1.m3u8
山东卫视,http://111.59.189.40:8445/tsfile/live/0131_1.m3u8
天津卫视,http://111.59.189.40:8445/tsfile/live/0135_1.m3u8
陕西卫视,http://111.59.189.40:8445/tsfile/live/0136_1.m3u8
河南卫视,http://111.59.189.40:8445/tsfile/live/0139_1.m3u8
重庆卫视,http://111.59.189.40:8445/tsfile/live/0142_1.m3u8
吉林卫视,http://111.59.189.40:8445/tsfile/live/1014_1.m3u8
江苏卫视,http://117.148.179.175/PLTV/88888888/224/3221231447/index.m3u8
湖南卫视,http://117.148.179.175/PLTV/88888888/224/3221231729/index.m3u8
湖北卫视,http://117.148.179.175/PLTV/88888888/224/3221231888/index.m3u8
天津卫视,http://117.148.179.146/PLTV/88888888/224/3221228905/index.m3u8
山东卫视,http://117.148.179.137/PLTV/88888888/224/3221227909/index.m3u8
安徽卫视,http://117.148.179.177/PLTV/88888888/224/3221230215/index.m3u8
四川卫视,http://117.148.179.142/PLTV/88888888/224/3221231885/index.m3u8
河北卫视,http://117.148.179.179/PLTV/88888888/224/3221231411/index.m3u8
青海卫视,http://117.148.179.151/PLTV/88888888/224/3221231435/index.m3u8
河南卫视,http://117.148.179.144/PLTV/88888888/224/3221231514/index.m3u8
陕西卫视,http://117.148.179.156/PLTV/88888888/224/3221231408/index.m3u8
吉林卫视,http://117.148.179.164/PLTV/88888888/224/3221231472/index.m3u8
广西卫视,http://117.148.179.164/PLTV/88888888/224/3221231600/index.m3u8
内蒙古卫视,http://117.148.179.151/PLTV/88888888/224/3221231478/index.m3u8
甘肃卫视,http://117.148.179.158/PLTV/88888888/224/3221231393/index.m3u8
重庆卫视,http://117.148.179.155/PLTV/88888888/224/3221231508/index.m3u8
兵团卫视,http://117.148.179.162/PLTV/88888888/224/3221231469/index.m3u8
厦门卫视,http://117.148.179.134/PLTV/88888888/224/3221229184/index.m3u8
江西卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225705/index.m3u8?
江苏卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225702/index.m3u8?
北京卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225673/index.m3u8?
东方卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225658/index.m3u8?
浙江卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225703/index.m3u8?
广东卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225701/index.m3u8?
深圳卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225700/index.m3u8?
湖南卫视],http://39.137.49.76:8080/PLTV/88888888/224/3221225704/index.m3u8?
湖北卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225699/index.m3u8?
河南卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225611/index.m3u8?
东南卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225657/index.m3u8?
黑龙江卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225690/index.m3u8?
安徽卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225691/index.m3u8?
CNC中文,http://39.137.49.76:8080/PLTV/88888888/224/3221225693/index.m3u8?
重庆卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225692/index.m3u8?
辽宁卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225696/index.m3u8?
天津卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225698/index.m3u8?
山东卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225697/index.m3u8?
贵州卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225728/index.m3u8?
河北卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225732/index.m3u8?
广西卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221226211/index.m3u8?
纯享4K,http://39.137.49.76:8080/PLTV/88888888/224/3221225786/index.m3u8?
体育频道,#genre#
咪咕NBA,http://39.135.134.67/000000001000/3000000001000028638/index.m3u8
咪咕NBA,http://39.134.65.162/PLTV/88888888/224/3221225611/index.m3u8
咪咕NBA,http://39.137.49.76:8080/PLTV/88888888/224/3221226238/index.m3u8?
咪咕NBA,http://39.134.65.164/PLTV/88888888/224/3221226046/1.m3u8
咪咕NBA,http://39.137.49.76:8080/PLTV/88888888/224/3221226235/index.m3u8?
咪咕NBA,http://39.137.49.76:8080/PLTV/88888888/224/3221226241/index.m3u8?
咪咕NBA,http://39.137.49.76:8080/PLTV/88888888/224/3221226243/index.m3u8?
咪咕足球,http://39.137.49.76:8080/PLTV/88888888/224/3221226240/index.m3u8?
CCTV5,http://39.135.55.105:6610/PLTV/88888888/224/3221227170/index.m3u8?servicetype=1
CCTV5+,http://39.135.55.105:6610/PLTV/88888888/224/3221226919/index.m3u8?servicetype=1
CCTV16,http://39.135.55.105:6610/PLTV/88888888/224/3221227125/index.m3u8?servicetype=1
北京纪实,http://39.135.55.105:6610/PLTV/88888888/224/3221225944/index.m3u8?servicetype=1
CCTV5,http://39.137.49.76:8080/PLTV/88888888/224/3221225622/index.m3u8?
CCTV5+,http://39.137.49.76:8080/PLTV/88888888/224/3221225649/index.m3u8?
CCTV16,http://39.137.49.76:8080/PLTV/88888888/224/3221226230/index.m3u8?
北京纪实,http://39.137.49.76:8080/PLTV/88888888/224/3221225676/index.m3u8?
超级体育,http://39.137.49.76:8080/PLTV/88888888/224/3221225648/index.m3u8?
精品体育,http://39.137.49.76:8080/PLTV/88888888/224/3221225709/index.m3u8?
CCTV5,http://117.148.179.165/PLTV/88888888/224/3221231702/index.m3u8
CCTV5+,http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8
CCTV16,http://117.148.179.162/PLTV/88888888/224/3221233403/index.m3u8
北京纪实,http://117.148.179.138:80/PLTV/88888888/224/3221233356/1.m3u8
北京纪实8K,http://117.148.179.157/PLTV/88888888/224/3221233448/index.m3u8
MIGU24小时体育,http://117.148.179.172/PLTV/88888888/224/3221231778/index.m3u8
CCTV5,http://111.20.33.93/PLTV/88888893/224/3221226395/index.m3u8
CCTV5+,http://111.20.33.93/PLTV/88888893/224/3221226221/index.m3u8
北京纪实,http://111.20.33.93/PLTV/88888893/224/3221226232/index.m3u8
极速汽车,http://111.20.33.93/PLTV/88888893/224/3221226583/index.m3u8
冬奥纪实,http://111.6.126.218/hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s6/index.m3u8
CCTV5,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225633/index.m3u8
CCTV16,http://ncyd.jilu8.cn/PLTV/88888910/224/3221226233/index.m3u8
北京纪实,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225676/index.m3u8
超级体育,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225622/index.m3u8
五星体育频道,http://139.215.233.152/liveplay-kk.rtxapp.com/live/program/live/ssty/4000000/mnf.m3u8
劲爆体育,http://139.215.233.152/liveplay-kk.rtxapp.com/live/program/live/jbtyhd/4000000/mnf.m3u8
籃球,http://txtest-xp2p.p2p.huya.com/1099531627841-1099531627841-85899625092874240-2199063379138-10057-A-0-1.xs
籃球2,http://txtest-xp2p.p2p.huya.com/1099531627800-1099531627800-85899448999215104-2199063379056-10057-A-0-1.xs
籃球3,http://txtest-xp2p.p2p.huya.com/1859752418-1859752418-7987575813966921728-3719628292-10057-A-0-1.xs
籃球5,http://txtest-xp2p.p2p.huya.com/1099531739898-1099531739898-86380906243162112-2199063603252-10057-A-0-1.xs
籃球7,http://txtest-xp2p.p2p.huya.com/1099531739953-1099531739953-86381142466363392-2199063603362-10057-A-0-1.xs
籃球8,http://txtest-xp2p.p2p.huya.com/1099531739788-1099531739788-86380433796759552-2199063603032-10057-A-0-1.xs
籃球9,http://txtest-xp2p.p2p.huya.com/1099531627785-1099531627785-85899384574705664-2199063379026-10057-A-0-1.xs
北京纪实,http://39.134.65.164/PLTV/88888888/224/3221225670/1.m3u8
地方频道,#genre#
江西卫视,http://39.135.55.105:6610/PLTV/88888888/224/3221227209/index.m3u8?servicetype=1
江西卫视,http://111.59.189.40:8445/tsfile/live/0010_1.m3u8
江西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225705/index.m3u8
江西卫视,http://local.live.jxtvcn.com.cn/live-jxtv/tv_jxtv1.m3u8
江西卫视,http://2061827155.cloudvdn.com/a.m3u8?domain=local.live.jxtvcn.com.cn&player=qYEAAAgsI55fEewW&secondToken=secondToken%3A1-FwD31Fr97d5GMdMpDIL8JLbHo&streamid=live-jxtv%3Alive-jxtv%2Ftv_jxtv1&v3=1
江西都市,http://2061824980.cloudvdn.com/a.m3u8?domain=local.live.jxtvcn.com.cn&player=tbIAAJoL3GgY0vYW&secondToken=secondToken%3AZ441Q7lTqugJcrnmKrO7rKhOSeQ&streamid=live-jxtv%3Alive-jxtv%2Ftv_jxtv2&v3=1
江西都市,https://2061824984.cloudvdn.com/a.m3u8?domain=jxtv2-live.jxtvcn.com.cn&player=c5AAAA4g2iziF-wW&secondToken=secondToken%3AQgdipkPBamOU7HjaLH9USASynO4&streamid=live-jxtv%3Alive-jxtv%2Ftv_jxtv2&v3=1
江西都市,http://117.169.120.242:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225584/01.m3u8?fmt=ts2hls
江西都市,http://ysten.jx.chinamobile.com:8080/PLTV/88888888/224/3221225584/01.m3u8?fmt=ts2hls
江西都市,http://local.live.jxtvcn.com.cn/live-jxtv/tv_jxtv2.m3u8
江西生活,http://2061827159.cloudvdn.com/a.m3u8?domain=local.live.jxtvcn.com.cn&player=7W8AAPEVvlMh0vYW&secondToken=secondToken%3Ahm49oGufXKJzDANr6ymcctDBWtY&streamid=live-jxtv%3Alive-jxtv%2Ftv_jxtv3&v3=1
江西生活,http://2061827155.cloudvdn.com/a.m3u8?domain=local.live.jxtvcn.com.cn&player=qYEAAAgsI55fEewW&secondToken=secondToken%3A1-FwD31Fr97d5GMdMpDIL8JLbHo&streamid=live-jxtv%3Alive-jxtv%2Ftv_jxtv3&v3=1
江西生活,http://117.169.120.242:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221226206/01.m3u8?fmt=ts2hls
江西生活,http://117.169.120.242:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225580/01.m3u8?fmt=ts2hls
江西生活,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225580/index.m3u8?fmt=ts2hls
江西生活,http://local.live.jxtvcn.com.cn/live-jxtv/tv_jxtv3.m3u8
江西影视,http://2061827158.cloudvdn.com/a.m3u8?domain=local.live.jxtvcn.com.cn&player=R_QAAE59qu9h0vYW&secondToken=secondToken%3ADXJ_ti166TmArji53rBNkRx7Tyg&streamid=live-jxtv%3Alive-jxtv%2Ftv_jxtv4&v3=1
江西影视,http://2061827159.cloudvdn.com/a.m3u8?domain=local.live.jxtvcn.com.cn&player=7W8AANZ8zOkr0vYW&secondToken=secondToken%3AYZ_ALaWaw6GcRPO2Pc1ueSReTPY&streamid=live-jxtv%3Alive-jxtv%2Ftv_jxtv4&v3=1
江西影视,http://2061827155.cloudvdn.com/a.m3u8?domain=local.live.jxtvcn.com.cn&player=qYEAAAgsI55fEewW&secondToken=secondToken%3A1-FwD31Fr97d5GMdMpDIL8JLbHo&streamid=live-jxtv%3Alive-jxtv%2Ftv_jxtv4&v3=1
江西影视,http://local.live.jxtvcn.com.cn/live-jxtv/tv_jxtv4.m3u8
江西影视,http://117.169.120.242:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225579/01.m3u8?fmt=ts2hls
江西影视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225579/index.m3u8?fmt=ts2hls
江西影视,http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225579/index.m3u8?fmt=ts2hls
江西公共,http://2061827160.cloudvdn.com/a.m3u8?domain=local.live.jxtvcn.com.cn&player=PHYAAIQhFRg50vYW&secondToken=secondToken%3AZOY-fXnG_sgTHC6SRLf88mAQOiQ&streamid=live-jxtv%3Alive-jxtv%2Ftv_jxtv5&v3=1
江西公共,http://2061827164.cloudvdn.com/a.m3u8?domain=local.live.jxtvcn.com.cn&player=vYMAAANLEbdW0vYW&secondToken=secondToken%3AigjOCTZ7nOJm5WD_Vz2zTvrgyI0&streamid=live-jxtv%3Alive-jxtv%2Ftv_jxtv5&v3=1
江西公共,http://2061827155.cloudvdn.com/a.m3u8?domain=local.live.jxtvcn.com.cn&player=qYEAAAgsI55fEewW&secondToken=secondToken%3A1-FwD31Fr97d5GMdMpDIL8JLbHo&streamid=live-jxtv%3Alive-jxtv%2Ftv_jxtv5&v3=1
江西公共,http://local.live.jxtvcn.com.cn/live-jxtv/tv_jxtv5.m3u8
江西新闻,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225615/index.m3u8?fmt=ts2hls
江西新闻,http://2061827160.cloudvdn.com/a.m3u8?domain=local.live.jxtvcn.com.cn&player=PHYAAOqnX_U-0vYW&secondToken=secondToken%3AvUObzW8iCDsugpZSFMep159sVmE&streamid=live-jxtv%3Alive-jxtv%2Ftv_jxtv7&v3=1
江西新闻,http://2061827155.cloudvdn.com/a.m3u8?domain=local.live.jxtvcn.com.cn&player=qYEAAAgsI55fEewW&secondToken=secondToken%3A1-FwD31Fr97d5GMdMpDIL8JLbHo&streamid=live-jxtv%3Alive-jxtv%2Ftv_jxtv7&v3=1
江西新闻,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225615/index.m3u8?fmt=ts2hls
江西新闻,http://local.live.jxtvcn.com.cn/live-jxtv/tv_jxtv7.m3u8
江西移动,http://2061824984.cloudvdn.com/a.m3u8?domain=local.live.jxtvcn.com.cn&player=jIkAAPA80LNK0vYW&secondToken=secondToken%3AeUy1cv6d651gX_n-jUjfqNuL1aM&streamid=live-jxtv%3Alive-jxtv%2Ftv_jxtv8&v3=1
江西移动,http://2061827158.cloudvdn.com/a.m3u8?domain=local.live.jxtvcn.com.cn&player=R_QAAAEuV5dn0vYW&secondToken=secondToken%3AacalWkRLtfBnzF8DvkFm6m7Ux2U&streamid=live-jxtv%3Alive-jxtv%2Ftv_jxtv8&v3=1
江西移动,http://local.live.jxtvcn.com.cn/live-jxtv/tv_jxtv8.m3u8
南昌都市,http://39.135.138.58:18890/PLTV/88888888/224/3221226226/index.m3u8
南昌资讯,http://39.135.138.58:18890/PLTV/88888888/224/3221226228/index.m3u8
南昌资讯,http://39.134.116.114:8080/wh7f454c46tw2118680138_-24892007/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226228/index.m3u8?icpid=88888888&RTS=1654741348&from=79102&hms_devid=868&prioritypopid=79102&online=1654741348&vqe=3
南昌公共,http://39.135.138.58:18890/PLTV/88888888/224/3221226231/index.m3u8
南昌公共,http://39.134.116.99:8080/wh7f454c46tw2207490498_-436007000/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226231/index.m3u8?icpid=88888888&RTS=1654741437&from=79102&hms_devid=874&prioritypopid=79102&online=1654741437&vqe=3
南昌新闻,http://player.521fanli.cn/1691/jx/nanchangm3u8.php?id=1
南昌都市,http://player.521fanli.cn/1691/jx/nanchangm3u8.php?id=2
南昌资讯,http://player.521fanli.cn/1691/jx/nanchangm3u8.php?id=3
南昌公共,http://player.521fanli.cn/1691/jx/nanchangm3u8.php?id=4
赣州新闻综合,http://pl1.cloud.dayang.com.cn/live/10062_nfeG7l.m3u8
山东综艺,http://119.164.216.162:9901/tsfile/live/1001_1.m3u8
山东体育,http://119.164.216.162:9901/tsfile/live/1002_1.m3u8
山东齐鲁,http://119.164.216.162:9901/tsfile/live/1003_1.m3u8
山东文旅,http://119.164.216.162:9901/tsfile/live/1004_1.m3u8
山东新闻,http://119.164.216.162:9901/tsfile/live/1005_1.m3u8
山东生活,http://119.164.216.162:9901/tsfile/live/1007_1.m3u8
山东影视,http://119.164.216.162:9901/tsfile/live/1008_1.m3u8
山东影视1,http://119.164.216.162:9901/tsfile/live/1009_1.m3u8
北京卫视,http://111.6.126.218/hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8
北京文艺,http://111.6.126.218/hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s2/index.m3u8
北京科教,http://111.6.126.218/hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s3/index.m3u8
北京影视,http://111.6.126.218/hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s4/index.m3u8
北京财经,http://111.6.126.218/hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s5/index.m3u8
北京生活,http://111.6.126.218/hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s7/index.m3u8
北京青年,http://111.6.126.218/hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s8/index.m3u8
北京新闻,http://111.6.126.218/hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8
欢笑剧场,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8
都市剧场,http://183.207.255.188/live/program/live/dsjchd/4000000/mnf.m3u8
上海都市,http://183.207.255.188/live/program/live/ylpdhd/4000000/mnf.m3u8
游戏风云,http://183.207.255.188/live/program/live/yxfyhd/4000000/mnf.m3u8
第一财经,http://183.207.255.188/live/program/live/dycjhd/4000000/mnf.m3u8
生活时尚,http://183.207.255.188/live/program/live/shsshd/4000000/mnf.m3u8
全纪实,http://183.207.255.188/live/program/live/qjshd/4000000/mnf.m3u8
幸福彩,http://183.207.255.188/live/program/live/xfchd/4000000/mnf.m3u8
动漫秀场,http://183.207.255.188/live/program/live/dmxchd/4000000/mnf.m3u8
纪实人文,http://183.207.255.188/live/program/live/jspdhd/4000000/mnf.m3u8
哈哈炫动,http://183.207.255.188/live/program/live/hhxdhd/4000000/mnf.m3u8
上视外语,http://183.207.255.188/live/program/live/wypdhd/4000000/mnf.m3u8
东方影视,http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8
幸福彩,http://183.207.255.188/live/program/live/xfchd/4000000/mnf.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
钱江卫视,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
经济生活,http://hw-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江影视,http://hw-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
影视娱乐,http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8
数码时代,http://hw-m-l.cztv.com/channels/lantian/channel12/1080p.m3u8
中国蓝TV,http://hw-m-l.cztv.com/channels/lantian/channel14/1080p.m3u8
少儿频道,#genre#
CCTV14,http://39.137.49.76:8080/PLTV/88888888/224/3221225639/index.m3u8?
黑莓动画,http://39.137.49.76:8080/PLTV/88888888/224/3221225672/index.m3u8?
CCTV14,http://111.59.189.40:8445/tsfile/live/1012_1.m3u8
北京少儿,http://111.59.189.40:8445/tsfile/live/1015_1.m3u8
